id,ad_ry_mean,md_ry_mean,bt_ry_mean
807,366,292,350
808,195,183,197
809,245,221,258
810,158,158,159
811,107,110,110
812,114,109,107
813,105,87,92
814,72,61,64
815,319,327,335
816,284,282,292
817,335,360,341
818,221,230,234
819,762,869,884
820,602,670,615
821,2289,2314,2376
822,958,976,937
823,7518,7582,7844
824,1854,1905,1796
825,1928,1962,1960
826,1155,1183,1198
827,1773,1807,1735
828,1874,1914,1932
829,1279,1316,1327
830,962,1019,1008
831,1577,1612,1566
832,1052,1141,1154
833,1428,1395,1507
834,384,352,376
835,342,368,351
836,698,663,671
837,343,363,396
838,577,575,614
839,488,468,524
840,469,457,491
841,594,589,674
842,550,527,597
843,1255,1255,1345
844,623,577,635
845,2986,2909,3186
846,416,416,455
847,1025,1035,1120
848,463,470,521
849,1070,1032,1117
850,1385,1343,1484
851,884,963,995
852,1518,1546,1620
853,760,769,834
854,721,708,767
855,954,949,929
856,374,361,371
857,549,545,603
858,716,701,744
859,152,166,156
860,392,394,390
861,255,261,256
862,110,112,100
863,366,386,402
864,456,450,472
865,704,677,714
866,275,288,284
867,2350,2356,2382
868,346,360,353
869,920,915,954
870,313,329,323
871,616,601,630
872,774,722,765
873,812,891,912
874,777,757,814
875,457,460,487
876,462,470,515
877,344,351,366
878,145,153,148
879,245,258,258
880,245,257,246
881,177,136,182
882,17,15,17
883,23,20,23
884,285,195,273
885,40,26,39
886,58,50,58
887,256,237,260
888,111,81,112
889,1008,899,1015
890,27,21,30
891,365,327,386
892,36,33,39
893,275,255,281
894,174,163,176
895,373,335,383
896,68,58,69
897,45,41,47
898,78,64,87
899,103,90,114
900,20,17,22
901,34,31,39
902,47,38,48
903,170,199,214
904,325,318,327
905,143,134,145
906,111,103,108
907,451,430,465
908,324,301,342
909,606,551,611
910,253,228,237
911,3423,3084,3471
912,415,400,412
913,679,671,717
914,336,316,340
915,561,520,552
916,534,488,536
917,768,752,825
918,642,594,652
919,503,460,531
920,674,618,679
921,347,318,353
922,155,154,169
923,201,187,200
924,148,134,150
925,322,350,352
926,132,135,134
927,194,201,200
928,415,435,437
929,415,408,403
930,352,347,349
931,909,927,942
932,451,444,451
933,2893,2849,2954
934,175,178,171
935,1027,1033,1085
936,231,237,233
937,924,908,907
938,539,575,545
939,1338,1421,1381
940,538,571,541
941,523,519,514
942,467,481,467
943,886,843,883
944,158,158,155
945,199,197,197
946,351,338,347
947,252,257,234
948,64,68,59
949,51,52,46
950,337,383,334
951,232,221,209
952,117,113,106
953,211,211,207
954,48,51,44
955,361,377,315
956,52,57,50
957,245,250,235
958,76,84,69
959,163,155,147
960,152,152,145
961,142,137,130
962,157,146,141
963,167,170,157
964,124,128,113
965,96,103,93
966,143,135,130
967,168,177,166
968,55,58,50
969,90,78,105
970,72,60,77
971,63,49,60
972,15,12,15
973,150,118,162
974,310,264,332
975,375,329,387
976,88,65,86
977,414,350,409
978,51,40,53
979,466,388,488
980,236,192,262
981,258,222,271
982,438,383,443
983,428,372,464
984,203,161,212
985,188,159,203
986,139,102,151
987,43,43,46
988,35,28,37
989,84,71,91
990,34,26,30
991,64,61,68
992,55,50,52
993,32,31,31
994,37,34,35
995,73,73,73
996,110,111,117
997,312,324,305
998,21,18,20
999,36,34,43
1000,11,15,18
1001,192,194,208
1002,75,79,80
1003,201,196,192
1004,143,150,152
1005,178,186,192
1006,122,119,133
1007,177,163,185
1008,42,39,43
1009,42,54,51
1010,23,21,25
1011,60,61,67
1012,30,28,30
1013,252,292,291
1014,121,118,129
1015,70,68,68
1016,118,104,119
1017,568,618,645
1018,732,765,803
1019,811,760,804
1020,129,127,145
1021,975,911,961
1022,166,165,173
1023,1868,1750,1920
1024,582,570,606
1025,473,448,514
1026,1527,1428,1574
1027,1262,1150,1310
1028,515,536,578
1029,500,528,540
1030,391,386,426
1031,139,138,147
1032,292,284,296
1033,261,238,255
1034,66,63,70
1035,22,29,31
1036,130,116,129
1037,206,184,204
1038,18,20,24
1039,315,286,309
1040,243,249,239
1041,701,645,655
1042,426,423,386
1043,276,247,264
1044,218,226,225
1045,254,216,246
1046,169,150,160
1047,973,914,874
1048,608,560,536
1049,358,328,340
1050,131,116,126
1051,207,176,197
1052,171,135,157
1053,295,284,299
1054,51,50,54
1055,211,203,201
1056,186,184,173
1057,206,214,222
1058,213,204,225
1059,186,156,187
1060,159,138,154
1061,397,358,424
1062,661,607,653
1063,642,574,660
1064,181,159,190
1065,459,425,471
1066,124,121,118
1067,803,766,842
1068,435,379,427
1069,627,590,648
1070,992,855,975
1071,980,934,1048
1072,422,389,408
1073,396,372,413
1074,240,219,246
1075,125,118,127
1076,139,124,145
1077,249,206,247
1078,70,65,71
1079,128,151,158
1080,159,164,175
1081,40,41,41
1082,42,44,44
1083,288,282,327
1084,246,242,254
1085,403,382,431
1086,66,66,69
1087,371,316,376
1088,123,134,140
1089,673,584,690
1090,204,210,219
1091,345,347,395
1092,409,376,417
1093,351,321,381
1094,161,160,180
1095,208,207,227
1096,186,194,211
1097,51,58,59
1098,123,113,124
1099,134,141,139
1100,40,40,37
1123,339,370,380
1124,265,292,274
1125,48,51,48
1126,78,78,65
1127,637,712,667
1128,654,681,689
1129,504,501,514
1130,58,66,57
1131,1476,1398,1449
1132,244,274,258
1133,1289,1316,1341
1134,339,370,357
1135,440,457,457
1136,676,716,704
1137,1044,1088,1066
1138,455,479,478
1139,443,477,452
1140,524,545,556
1141,97,96,94
1142,297,330,309
1143,193,216,202
1144,48,47,50
1145,291,290,288
1146,350,331,352
1147,190,166,181
1148,373,369,377
1149,592,593,610
1150,242,247,237
1151,677,621,674
1152,159,147,160
1153,1242,1182,1257
1154,205,183,204
1155,600,559,575
1156,199,186,191
1157,580,539,565
1158,530,483,509
1159,391,377,403
1160,331,331,342
1161,417,402,416
1162,171,157,172
1163,230,213,211
1164,343,319,324
1165,271,272,256
1166,233,226,211
1167,171,183,202
1168,241,212,252
1169,167,150,162
1170,62,60,61
1171,591,533,636
1172,1020,973,1115
1173,849,791,878
1174,277,244,266
1175,687,632,688
1176,389,369,391
1177,926,905,980
1178,419,403,435
1179,667,601,685
1180,1621,1439,1623
1181,434,386,443
1182,317,308,349
1183,686,655,701
1184,375,345,408
1185,117,98,128
1186,321,304,288
1187,504,495,563
1188,79,73,78
1189,29,27,31
1190,75,64,80
1191,133,117,137
1192,25,17,23
1193,111,94,114
1194,144,120,146
1195,334,261,324
1196,91,78,95
1197,45,41,47
1198,22,21,23
1199,87,76,96
1200,102,96,107
1201,201,178,205
1202,320,252,299
1203,52,45,50
1204,142,126,146
1205,429,367,424
1206,23,20,25
1207,50,48,48
1208,74,64,78
1209,290,226,272
1210,67,57,70
1211,80,79,87
1212,372,341,363
1213,353,290,344
1214,84,82,75
1215,909,869,947
1216,404,347,358
1217,700,626,718
1218,636,557,606
1219,496,461,503
1220,228,231,233
1221,565,531,573
1222,319,289,312
1223,1182,988,1174
1224,918,785,867
1225,365,313,337
1226,273,258,280
1227,539,504,500
1228,141,136,138
1229,136,130,138
1230,525,504,521
1231,639,618,663
1232,103,91,106
1233,316,341,330
1234,689,748,676
1235,712,735,719
1236,241,238,245
1237,1472,1658,1568
1238,730,740,713
1239,1029,1050,989
1240,572,601,560
1241,1134,1192,1215
1242,340,369,325
1243,1516,1543,1546
1244,408,454,404
1245,1297,1289,1304
1246,1584,1734,1600
1247,1105,1144,1058
1248,541,629,559
1249,1111,1105,1058
1250,394,431,403
1251,246,245,231
1252,1487,1542,1448
1253,871,911,872
1254,204,204,195
1255,31,28,33
1256,808,708,834
1257,51,50,52
1258,71,66,78
1259,466,454,488
1260,220,190,231
1261,335,281,311
1262,102,100,98
1263,394,382,428
1264,37,34,34
1265,522,485,526
1266,112,97,110
1267,459,447,475
1268,918,826,903
1269,269,258,291
1270,368,295,376
1271,251,220,256
1272,84,83,84
1273,146,116,145
1274,417,398,426
1275,152,126,146
1276,27,27,27
1277,59,62,59
1278,107,108,111
1279,80,84,82
1280,66,59,61
1281,438,399,454
1282,112,119,124
1283,250,232,254
1284,111,124,125
1285,207,195,235
1286,121,137,125
1287,263,244,286
1288,98,106,98
1289,429,407,457
1290,377,348,394
1291,169,147,165
1292,52,57,61
1293,201,195,229
1294,75,77,76
1295,19,19,22
1296,351,335,351
1297,281,283,309
1298,13,12,12
1299,172,234,218
1300,62,68,71
1301,84,74,86
1302,39,33,43
1303,252,258,294
1304,425,391,392
1305,399,336,383
1306,131,124,140
1307,309,273,311
1308,159,171,170
1309,672,609,690
1310,285,289,293
1311,296,250,265
1312,824,733,823
1313,330,237,323
1314,290,239,294
1315,302,290,287
1316,113,118,121
1317,51,46,53
1318,71,68,73
1319,203,224,214
1320,19,15,17
1321,90,93,85
1322,113,115,93
1323,70,72,61
1324,62,64,60
1325,244,256,247
1326,155,155,135
1327,169,175,173
1328,42,41,36
1329,423,462,450
1330,140,146,145
1331,266,336,321
1332,87,87,77
1333,128,126,127
1334,131,132,121
1335,287,307,280
1336,170,171,158
1337,262,291,251
1338,115,114,101
1339,94,90,87
1340,111,104,94
1341,212,220,204
1342,57,59,56
1343,166,175,188
1344,210,218,217
1345,93,96,89
1346,160,173,163
1347,252,255,248
1348,116,122,114
1349,240,283,259
1350,104,117,110
1351,1388,1498,1323
1352,225,217,217
1353,484,502,467
1354,101,101,100
1355,207,226,215
1356,209,219,202
1357,406,440,445
1358,205,219,202
1359,184,186,182
1360,178,176,178
1361,357,376,361
1362,73,72,70
1363,171,186,174
1364,153,164,163
1365,347,351,374
1366,366,391,401
1367,229,262,262
1368,228,269,262
1369,593,698,637
1370,404,423,421
1371,953,1108,1034
1372,341,374,374
1373,4720,4906,4859
1374,905,964,996
1375,1866,1946,1870
1376,380,411,399
1377,858,1010,932
1378,873,921,889
1379,1419,1541,1526
1380,620,728,692
1381,599,682,666
1382,1051,1126,1180
1383,1270,1463,1503
1384,274,272,267
1385,336,397,364
1386,675,746,789
1387,108,114,108
1388,299,291,298
1389,178,191,183
1390,352,343,326
1391,286,280,303
1392,110,113,114
1393,321,329,324
1394,131,132,138
1395,1197,1178,1192
1396,165,168,163
1397,359,368,362
1398,120,111,117
1399,303,305,325
1400,305,294,305
1401,365,381,370
1402,211,219,214
1403,214,207,210
1404,92,100,99
1405,413,451,421
1406,119,125,128
1407,207,217,217
1408,197,203,211
1409,100,88,97
1410,185,180,192
1411,95,90,92
1412,66,76,76
1413,238,267,263
1414,201,216,215
1415,223,255,227
1416,96,94,99
1417,1874,2064,1836
1418,271,281,281
1419,777,787,735
1420,236,240,229
1421,289,323,287
1422,417,482,428
1423,853,962,840
1424,326,366,343
1425,332,358,333
1426,337,358,320
1427,276,315,279
1428,103,104,111
1429,161,169,163
1430,131,135,145
1431,150,137,148
1432,2324,2469,2265
1433,396,393,379
1434,65,75,64
1435,1323,1352,1388
1436,1405,1421,1416
1437,2726,2416,2301
1438,1117,1083,1101
1439,1406,1194,1122
1440,1319,1434,1364
1441,1843,1831,1782
1442,678,765,713
1443,2825,2568,2572
1444,3201,2837,2703
1445,1282,1181,1216
1446,1047,1053,997
1447,1138,1124,1098
1448,329,339,335
1449,758,766,757
1450,240,219,209
1451,962,1017,1024
1452,426,451,435
1453,121,124,126
1454,326,301,303
1455,275,268,264
1456,51,55,46
1457,568,620,604
1458,840,751,763
1459,1095,1063,980
1460,330,314,305
1461,2472,2408,2343
1462,349,326,334
1463,1135,1060,1050
1464,479,431,479
1465,1377,1338,1264
1466,1541,1392,1386
1467,629,618,581
1468,675,683,714
1469,891,822,885
1470,181,173,167
1471,209,222,210
1472,274,270,258
1473,267,295,276
1474,227,237,228
1475,1029,1027,927
1476,195,205,187
1477,133,151,141
1478,1182,1113,1111
1479,321,365,312
1480,350,364,320
1481,1081,1064,946
1482,245,278,229
1483,848,827,790
1484,113,121,109
1485,1233,1241,1148
1486,205,223,181
1487,726,796,703
1488,815,909,744
1489,838,887,784
1490,222,248,222
1491,199,217,183
1492,155,187,143
1493,335,369,313
1494,156,162,146
1495,296,332,278
1496,189,231,192
1497,140,118,149
1498,45,39,49
1499,29,26,29
1500,40,40,41
1501,175,160,185
1502,182,171,215
1503,136,138,155
1504,29,25,31
1505,93,103,117
1506,58,55,66
1507,335,330,351
1508,104,87,102
1509,105,96,113
1510,142,140,158
1511,234,223,238
1512,123,105,142
1513,101,90,116
1514,71,63,75
1515,33,28,32
1516,47,42,51
1517,65,60,67
1518,14,16,15
1519,478,464,487
1520,198,204,199
1521,176,179,179
1522,208,205,219
1523,532,590,567
1524,559,561,502
1525,566,557,496
1526,227,218,227
1527,400,454,401
1528,189,195,178
1529,917,901,811
1530,500,463,449
1531,401,395,389
1532,627,603,574
1533,582,588,576
1534,580,590,533
1535,613,597,538
1536,237,233,241
1537,160,164,171
1538,232,214,222
1539,187,192,188
1540,85,91,91
1541,281,263,335
1542,228,216,255
1543,182,185,193
1544,65,73,62
1545,995,1068,1187
1546,1097,1119,1241
1547,1589,1455,1579
1548,336,321,359
1549,799,673,733
1550,362,374,417
1551,2410,2130,2436
1552,740,698,761
1553,978,917,1151
1554,1462,1363,1497
1555,1301,1148,1308
1556,667,668,716
1557,737,756,837
1558,554,521,552
1559,214,202,225
1560,243,245,266
1561,272,285,321
1562,133,119,134
1563,76,66,66
1564,345,361,330
1565,171,179,165
1566,127,107,117
1567,932,1072,1036
1568,727,735,697
1569,1076,1133,1051
1570,471,409,443
1571,506,509,497
1572,585,569,561
1573,821,827,801
1574,641,605,645
1575,900,909,949
1576,1392,1464,1387
1577,989,989,917
1578,535,567,568
1579,806,796,810
1580,460,428,435
1581,152,152,153
1582,401,441,450
1583,492,527,545
1584,74,75,65
1585,37,35,38
1586,269,280,270
1587,185,185,187
1588,41,39,34
1589,528,539,532
1590,379,375,371
1591,834,811,778
1592,462,447,413
1593,385,375,352
1594,282,286,293
1595,407,421,419
1596,265,281,272
1597,964,996,916
1598,852,882,803
1599,317,321,293
1600,283,302,310
