id,ad_ry_mean,md_ry_mean,bt_ry_mean
328,348,325,335
329,466,459,437
330,69,69,69
331,65,64,63
332,906,921,900
333,708,730,702
334,177,175,167
335,2194,2061,2186
336,314,328,328
337,2264,2262,2251
338,767,814,797
339,1480,1501,1420
340,410,428,401
341,565,601,588
342,307,333,315
343,2281,2350,2355
344,1596,1554,1560
345,477,502,512
346,367,403,396
347,1103,1191,1094
348,382,413,415
349,768,812,749
350,184,175,181
351,538,543,526
352,1126,1241,1154
353,1124,1139,1227
354,794,771,851
355,396,426,436
356,190,209,199
357,1659,1719,1591
358,1575,1589,1628
359,2212,2335,2352
360,817,960,1021
361,797,866,911
362,400,423,436
363,2480,2456,2485
364,925,1043,1169
365,2221,2314,2253
366,3256,3566,3107
367,1090,1144,1174
368,863,875,950
369,1235,1245,1297
370,575,550,596
371,327,328,366
372,643,642,696
373,771,747,818
374,249,261,276
375,230,216,236
376,455,473,490
377,500,499,503
378,83,75,84
379,1085,1166,1174
380,644,668,683
381,2350,2264,2560
382,1016,1012,1029
383,445,454,466
384,192,212,196
385,901,904,937
386,374,390,345
387,2052,1929,2078
388,1388,1335,1469
389,483,442,495
390,256,232,237
391,405,439,480
392,255,247,264
393,432,427,470
394,251,240,251
395,599,605,643
396,510,467,506
397,209,198,211
398,332,369,340
399,372,423,420
400,746,702,743
401,1009,1111,1053
402,597,600,607
403,1544,1612,1647
404,326,399,377
405,772,819,786
406,201,236,215
407,938,953,950
408,304,320,327
409,1374,1441,1478
410,1341,1406,1345
411,621,636,638
412,558,618,604
413,414,480,463
414,448,471,471
415,522,576,552
416,302,320,305
417,423,476,438
418,702,684,676
419,325,342,338
420,241,227,233
421,97,93,85
422,135,131,128
423,476,462,441
424,397,396,380
425,546,516,505
426,78,78,68
427,442,454,441
428,115,122,115
429,685,689,662
430,301,284,295
431,328,348,320
432,346,350,339
433,708,682,669
434,326,331,311
435,384,409,373
436,221,220,220
437,121,114,108
438,151,154,144
439,154,137,133
440,122,109,108
441,288,326,310
442,364,367,377
443,361,384,362
444,245,256,264
445,1568,1647,1594
446,880,901,912
447,1576,1549,1525
448,355,400,376
449,603,620,630
450,257,266,262
451,1745,1786,1779
452,400,449,431
453,1974,1949,1897
454,1799,1795,1847
455,1110,1186,1091
456,629,694,670
457,564,579,612
458,362,389,375
459,440,491,461
460,340,337,324
461,419,431,433
462,418,422,397
463,385,410,431
464,180,181,189
465,182,180,187
466,326,368,349
467,561,562,597
468,413,417,438
469,1109,1164,1240
470,159,162,164
471,404,426,449
472,116,126,138
473,1270,1188,1305
474,221,224,234
475,918,923,966
476,786,726,810
477,990,994,1107
478,303,312,332
479,268,261,282
480,197,217,214
481,141,157,167
482,93,98,105
483,245,248,244
484,154,164,165
485,34,29,32
486,48,42,47
487,67,60,62
488,32,27,30
489,202,157,182
490,285,253,301
491,554,385,512
492,212,162,215
493,119,84,106
494,62,57,62
495,204,159,190
496,68,61,68
497,462,345,453
498,319,226,291
499,67,50,56
500,174,130,179
501,172,131,160
502,46,40,47
503,119,105,125
504,80,72,69
505,118,103,107
506,78,69,77
507,574,611,602
508,151,159,170
509,92,97,91
510,568,581,546
511,500,514,482
512,291,302,303
513,422,452,443
514,112,120,117
515,1036,1048,961
516,132,141,136
517,1239,1252,1254
518,189,212,211
519,342,358,337
520,285,291,295
521,1140,1153,1101
522,330,336,332
523,296,290,293
524,370,398,372
525,180,203,205
526,172,186,193
527,204,216,214
528,78,84,76
529,236,251,252
530,172,170,168
531,91,89,85
532,233,235,237
533,404,419,420
534,204,196,199
535,301,304,327
536,91,93,88
537,466,487,507
538,95,102,95
539,759,759,809
540,132,146,137
541,222,220,238
542,208,210,223
543,600,638,675
544,245,251,266
545,217,208,228
546,213,222,234
547,103,108,107
548,126,131,125
549,127,140,137
550,59,62,61
551,695,667,651
552,271,287,262
553,119,125,109
554,838,753,768
555,724,747,707
556,290,303,285
557,553,595,557
558,153,146,128
559,1140,1240,1079
560,155,175,157
561,1201,1319,1139
562,224,246,209
563,309,338,308
564,382,395,373
565,1058,1143,994
566,475,489,439
567,324,336,306
568,389,417,387
569,245,246,233
570,221,232,222
571,252,267,252
572,104,105,95
573,158,157,169
574,45,47,48
575,23,25,26
576,113,122,116
577,170,168,169
578,78,86,83
579,180,193,184
580,26,27,27
581,155,167,175
582,39,41,37
583,397,399,397
584,42,42,44
585,104,110,107
586,101,103,99
587,374,410,393
588,90,97,94
589,71,80,79
590,53,58,55
591,41,42,47
592,44,44,43
593,65,75,71
594,21,25,25
595,683,737,664
596,282,277,271
597,200,210,203
598,703,717,626
599,976,1003,910
600,576,624,576
601,906,932,838
602,182,183,180
603,1098,1052,1002
604,161,168,153
605,1669,1800,1659
606,361,369,367
607,645,658,619
608,578,605,557
609,1941,1973,1785
610,522,584,490
611,510,545,480
612,380,372,359
613,458,484,420
614,246,250,234
615,464,434,427
616,194,191,181
617,289,275,308
618,116,115,134
619,105,106,116
620,206,196,213
621,344,336,342
622,210,202,225
623,371,369,397
624,92,91,102
625,441,439,461
626,82,95,102
627,683,644,664
628,155,146,159
629,220,223,247
630,224,218,254
631,763,719,767
632,277,274,279
633,220,205,223
634,177,168,186
635,101,105,115
636,83,86,94
637,128,123,140
638,55,63,66
639,484,486,446
640,220,229,212
641,157,166,153
642,623,619,610
643,654,655,607
644,311,311,298
645,566,564,551
646,123,117,107
647,1046,1073,957
648,155,164,150
649,1025,1016,991
650,249,256,233
651,407,409,402
652,334,341,336
653,1046,1030,968
654,406,422,393
655,369,370,354
656,249,253,241
657,312,297,287
658,179,180,175
659,254,241,244
660,107,111,100
661,515,530,533
662,256,254,252
663,69,75,71
664,534,540,527
665,626,678,654
666,401,439,435
667,480,526,516
668,91,95,87
669,1180,1271,1193
670,193,220,206
671,1147,1266,1243
672,228,233,232
673,425,440,457
674,401,433,424
675,1470,1548,1494
676,344,367,356
677,402,416,411
678,413,432,414
679,192,204,189
680,222,232,221
681,227,233,241
682,70,70,70
683,193,198,229
684,605,669,733
685,193,192,225
686,91,93,96
687,505,582,599
688,1070,1151,1250
689,1991,1992,2160
690,490,497,544
691,1383,1363,1499
692,1576,1821,2018
693,1334,1354,1445
694,486,505,560
695,1097,1136,1197
696,1902,1699,1957
697,670,751,775
698,626,687,707
699,888,1000,1004
700,286,322,335
701,373,411,415
702,161,161,185
703,589,635,669
704,417,439,480
705,339,309,348
706,157,155,167
707,187,171,209
708,55,54,57
709,440,417,526
710,227,206,249
711,549,550,651
712,123,122,135
713,144,182,185
714,81,80,84
715,672,640,760
716,191,175,198
717,383,383,463
718,328,297,384
719,296,284,339
720,153,162,168
721,276,269,318
722,124,131,143
723,49,51,54
724,86,93,88
725,331,315,391
726,56,54,62
727,377,379,360
728,148,135,158
729,61,52,57
730,134,138,128
731,250,252,259
732,175,180,170
733,277,295,288
734,58,57,57
735,129,134,118
736,38,37,37
737,434,425,412
738,91,92,87
739,194,205,200
740,232,239,234
741,254,276,260
742,100,116,96
743,141,158,150
744,90,96,87
745,48,56,49
746,66,61,67
747,154,157,156
748,27,28,28
749,158,163,167
750,50,55,55
751,78,82,74
752,407,363,351
753,483,442,437
754,170,171,172
755,536,493,503
756,120,115,108
757,1553,1317,1189
758,253,247,242
759,595,543,497
760,193,203,218
761,313,300,293
762,323,282,305
763,514,443,402
764,461,430,438
765,374,371,337
766,456,405,364
767,158,182,159
768,295,258,269
769,117,122,117
770,182,194,183
771,138,131,132
772,239,254,251
773,393,381,399
774,516,518,477
775,842,785,740
776,170,188,190
777,670,684,643
778,200,218,218
779,1536,1536,1475
780,275,271,250
781,529,531,508
782,295,273,269
783,750,749,741
784,618,631,589
785,496,440,429
786,1186,1209,1155
787,513,502,468
788,315,290,287
789,501,458,468
790,383,366,366
791,497,469,433
792,264,272,267
793,69,68,75
794,111,118,126
795,97,90,95
796,48,41,46
797,276,251,270
798,145,132,151
799,223,205,217
800,86,85,97
801,406,392,484
802,118,130,135
803,379,328,410
804,191,197,205
805,200,186,189
806,291,239,305
807,326,282,337
808,193,166,213
809,233,209,238
810,137,147,155
811,93,90,94
812,117,118,122
813,102,110,106
814,68,60,61
815,244,264,232
816,242,238,217
817,275,262,245
818,220,205,185
819,934,906,825
820,517,538,497
821,1909,1901,1776
822,716,723,659
823,5800,6278,5357
824,1471,1471,1428
825,1649,1695,1493
826,972,898,944
827,1313,1309,1254
828,1557,1579,1446
829,1016,1062,937
830,874,848,766
831,1256,1276,1088
832,858,863,814
833,1040,1019,935
834,372,370,314
835,337,339,305
836,519,524,465
837,137,117,141
838,236,205,222
839,218,179,194
840,173,165,185
841,329,301,289
842,249,222,233
843,574,476,487
844,264,215,252
845,1674,1493,1552
846,189,171,178
847,468,415,412
848,214,180,198
849,460,438,403
850,593,552,515
851,397,366,366
852,738,575,616
853,361,309,329
854,282,226,282
855,364,303,318
856,138,117,148
857,224,191,201
858,277,218,243
859,183,172,190
860,357,417,392
861,268,272,260
862,122,138,128
863,431,476,450
864,448,492,453
865,733,781,699
866,274,281,264
867,2219,2284,2127
868,304,363,345
869,1004,1114,1019
870,327,354,334
871,679,721,671
872,786,846,811
873,895,910,791
874,723,873,771
875,430,454,453
876,435,495,459
877,372,419,396
878,167,167,164
879,244,262,257
880,250,257,257
881,189,172,163
882,17,17,17
883,27,24,25
884,259,266,260
885,44,46,43
886,56,58,59
887,277,286,261
888,92,103,95
889,825,838,801
890,26,27,26
891,391,359,373
892,41,40,42
893,296,283,270
894,170,169,158
895,357,348,341
896,65,63,68
897,47,43,46
898,68,69,68
899,98,98,95
900,24,21,25
901,41,36,37
902,56,54,47
903,150,156,166
904,273,270,297
905,131,125,140
906,128,123,128
907,508,548,497
908,257,255,285
909,481,486,502
910,215,209,210
911,2563,2565,2619
912,271,289,312
913,530,532,578
914,300,295,299
915,453,452,468
916,426,426,460
917,618,605,632
918,513,508,524
919,389,392,431
920,481,495,512
921,268,275,295
922,145,138,157
923,194,188,218
924,141,135,144
925,155,154,161
926,104,109,105
927,154,160,146
928,287,318,315
929,360,374,358
930,267,257,255
931,656,671,663
932,258,253,254
933,1901,1950,1830
934,128,137,134
935,692,721,723
936,191,191,198
937,612,657,628
938,422,430,424
939,889,892,940
940,377,380,394
941,348,352,361
942,277,289,278
943,579,579,575
944,116,114,116
945,176,180,183
946,252,259,230
947,246,250,277
948,72,77,80
949,65,68,64
950,449,512,474
951,357,350,357
952,148,142,151
953,253,299,292
954,56,60,58
955,326,399,366
956,69,82,69
957,278,325,315
958,88,97,97
959,209,225,233
960,160,186,170
961,158,176,148
962,180,170,184
963,211,214,231
964,113,126,125
965,124,126,134
966,164,167,170
967,192,194,197
968,73,83,75
969,96,72,85
970,73,64,71
971,68,58,65
972,11,7,9
973,164,163,162
974,301,254,273
975,384,282,335
976,87,69,80
977,368,293,410
978,53,45,50
979,432,348,407
980,245,224,260
981,275,240,235
982,440,357,397
983,421,344,442
984,199,148,203
985,231,162,217
986,140,123,151
987,48,33,44
988,39,29,35
989,88,80,85
990,36,30,32
991,44,37,46
992,44,46,41
993,32,35,32
994,46,44,38
995,91,77,70
996,107,97,97
997,291,255,295
998,12,13,11
999,32,26,29
1000,14,11,13
1001,157,153,153
1002,69,66,64
1003,184,178,179
1004,128,122,108
1005,151,124,152
1006,128,99,104
1007,177,141,169
1008,41,37,37
1009,36,39,36
1010,18,14,16
1011,65,69,59
1012,30,25,26
1013,212,224,215
1014,97,100,106
1015,52,55,51
1016,97,94,105
1017,580,531,610
1018,533,521,582
1019,540,547,595
1020,102,104,111
1021,735,715,752
1022,122,133,140
1023,1384,1350,1413
1024,396,416,448
1025,352,334,375
1026,1190,1177,1241
1027,813,908,947
1028,376,385,424
1029,371,375,420
1030,284,279,308
1031,102,99,104
1032,218,226,235
1033,179,186,204
1034,57,50,54
1035,22,22,26
1036,110,116,124
1037,173,144,173
1038,14,10,12
1039,287,266,283
1040,161,150,182
1041,555,480,574
1042,319,255,303
1043,177,156,205
1044,160,147,162
1045,183,176,215
1046,129,113,138
1047,726,680,757
1048,399,357,439
1049,267,228,252
1050,105,100,114
1051,148,133,160
1052,122,97,122
1053,262,214,264
1054,43,38,38
1055,160,136,174
1056,151,112,130
1057,190,194,196
1058,230,207,236
1059,173,158,165
1060,173,161,181
1061,491,493,565
1062,654,613,727
1063,550,547,608
1064,154,143,164
1065,413,444,521
1066,114,121,129
1067,709,703,794
1068,431,400,483
1069,574,513,603
1070,920,900,989
1071,758,761,848
1072,412,414,487
1073,367,369,421
1074,211,205,236
1075,99,100,111
1076,159,169,163
1077,238,235,257
1078,70,69,73
1079,108,117,121
1080,162,131,141
1081,31,29,29
1082,49,48,48
1083,344,306,310
1084,221,204,221
1085,340,391,335
1086,49,43,44
1087,304,338,316
1088,96,107,109
1089,510,554,485
1090,176,168,183
1091,301,327,284
1092,349,393,345
1093,307,313,294
1094,165,165,160
1095,194,184,183
1096,182,169,174
1097,39,34,35
1098,120,114,125
1099,146,133,138
1100,28,30,27
1123,264,292,290
1124,217,236,227
1125,39,44,41
1126,67,84,72
1127,537,629,568
1128,485,521,509
1129,367,400,379
1130,55,59,54
1131,1009,1131,942
1132,184,221,200
1133,1012,1144,1055
1134,277,290,288
1135,329,368,343
1136,493,585,519
1137,745,770,693
1138,361,402,357
1139,351,373,355
1140,381,418,407
1141,67,72,71
1142,267,284,264
1143,163,183,174
1144,43,49,46
1145,281,328,283
1146,332,345,318
1147,195,204,197
1148,411,403,371
1149,628,714,657
1150,254,271,239
1151,609,672,645
1152,141,150,142
1153,983,1065,1018
1154,175,184,173
1155,540,625,583
1156,197,212,190
1157,528,602,540
1158,485,582,515
1159,350,398,369
1160,322,394,331
1161,370,437,382
1162,174,192,172
1163,214,231,216
1164,323,375,334
1165,248,269,254
1166,236,249,221
1167,187,182,185
1168,220,239,243
1169,141,154,146
1170,79,68,78
1171,588,595,695
1172,879,856,998
1173,797,714,819
1174,221,240,247
1175,605,581,704
1176,255,300,329
1177,851,807,851
1178,346,343,371
1179,545,571,687
1180,1349,1260,1523
1181,397,358,460
1182,356,347,434
1183,547,582,679
1184,339,323,371
1185,109,108,106
1186,266,280,295
1187,494,464,543
1188,76,72,77
1189,31,21,30
1190,90,71,87
1191,158,137,157
1192,35,28,33
1193,163,159,140
1194,182,152,156
1195,384,301,382
1196,91,67,89
1197,50,35,45
1198,18,15,18
1199,99,90,86
1200,127,106,133
1201,224,199,213
1202,372,329,355
1203,64,51,57
1204,180,143,174
1205,521,423,501
1206,20,15,20
1207,54,44,56
1208,111,92,99
1209,305,266,319
1210,73,65,65
1211,84,82,79
1212,272,281,272
1213,245,247,261
1214,103,94,90
1215,853,981,937
1216,265,262,285
1217,508,519,519
1218,440,431,413
1219,404,400,425
1220,178,184,186
1221,454,443,447
1222,251,269,245
1223,867,955,912
1224,733,742,744
1225,260,258,282
1226,248,262,267
1227,407,422,446
1228,125,123,137
1229,99,100,104
1230,442,472,452
1231,503,489,483
1232,94,93,95
1233,237,218,231
1234,592,573,594
1235,531,480,507
1236,222,191,213
1237,1578,1695,1523
1238,623,626,609
1239,812,820,776
1240,401,396,377
1241,920,943,857
1242,261,255,257
1243,1351,1414,1239
1244,314,320,303
1245,1063,1091,1016
1246,1390,1480,1289
1247,970,987,886
1248,495,491,481
1249,988,1026,962
1250,295,307,297
1251,193,180,186
1252,1273,1230,1205
1253,689,656,635
1254,211,195,184
1255,22,20,26
1256,714,613,664
1257,57,53,59
1258,58,54,59
1259,487,464,447
1260,204,187,207
1261,315,285,302
1262,90,86,90
1263,370,329,336
1264,34,34,36
1265,514,460,475
1266,94,83,87
1267,471,440,430
1268,795,691,749
1269,268,264,260
1270,339,305,304
1271,239,224,223
1272,77,74,83
1273,128,110,129
1274,390,390,362
1275,140,127,131
1276,27,26,26
1277,55,52,58
1278,118,113,121
1279,67,65,69
1280,51,54,54
1281,539,464,589
1282,108,105,112
1283,239,207,261
1284,120,101,128
1285,164,146,196
1286,76,86,89
1287,222,204,272
1288,86,88,101
1289,401,321,429
1290,335,271,350
1291,140,114,167
1292,56,49,63
1293,211,180,227
1294,66,59,69
1295,19,15,19
1296,400,368,393
1297,291,248,302
1298,9,10,11
1299,158,151,172
1300,57,46,51
1301,78,60,67
1302,38,34,40
1303,279,237,313
1304,335,293,346
1305,323,257,291
1306,125,84,113
1307,258,238,297
1308,133,112,132
1309,578,553,579
1310,237,203,243
1311,233,185,205
1312,620,555,637
1313,285,214,278
1314,223,222,247
1315,283,250,275
1316,107,91,116
1317,41,35,38
1318,67,55,56
1319,184,160,178
1320,14,13,12
1321,82,90,91
1322,97,94,99
1323,73,65,66
1324,52,60,58
1325,280,286,275
1326,134,139,138
1327,141,142,150
1328,35,34,33
1329,387,456,410
1330,140,150,143
1331,313,326,321
1332,85,88,95
1333,100,98,98
1334,112,118,114
1335,293,299,285
1336,158,149,164
1337,262,284,285
1338,100,103,104
1339,82,76,84
1340,109,116,112
1341,207,201,207
1342,57,58,54
1343,166,185,170
1344,232,223,210
1345,96,95,90
1346,204,194,191
1347,263,265,279
1348,94,90,89
1349,270,265,259
1350,110,111,109
1351,1442,1496,1339
1352,253,233,216
1353,505,508,479
1354,91,91,87
1355,231,222,219
1356,224,211,213
1357,431,430,374
1358,214,189,195
1359,184,172,177
1360,222,214,202
1361,366,377,356
1362,82,74,83
1363,196,195,181
1364,169,181,180
1365,277,279,249
1366,316,353,298
1367,217,225,218
1368,210,225,205
1369,494,584,515
1370,325,347,307
1371,796,784,784
1372,286,309,269
1373,4071,4680,4415
1374,700,678,606
1375,1619,1575,1426
1376,326,340,292
1377,653,687,652
1378,600,620,605
1379,1202,1152,1085
1380,488,536,451
1381,425,487,424
1382,912,929,813
1383,1146,1168,1095
1384,205,204,204
1385,313,317,296
1386,509,514,478
1387,101,99,88
1388,262,267,257
1389,173,172,156
1390,387,357,363
1391,262,257,279
1392,94,95,86
1393,266,274,275
1394,107,112,100
1395,911,1009,957
1396,161,153,138
1397,361,402,349
1398,92,89,84
1399,281,288,291
1400,256,259,254
1401,336,362,334
1402,179,186,178
1403,181,179,184
1404,93,91,91
1405,348,358,350
1406,117,120,102
1407,189,186,179
1408,171,185,171
1409,84,80,87
1410,175,178,174
1411,94,94,98
1412,89,77,80
1413,219,260,250
1414,142,156,155
1415,243,256,248
1416,77,85,86
1417,2129,2297,2381
1418,261,274,264
1419,699,785,815
1420,171,184,188
1421,308,312,305
1422,320,351,346
1423,726,772,780
1424,292,332,312
1425,281,299,287
1426,332,351,344
1427,273,277,284
1428,101,103,103
1429,137,140,140
1430,126,129,139
1431,155,170,177
1432,3033,3481,3259
1433,515,524,568
1434,83,85,79
1435,1385,1552,1547
1436,1465,1585,1474
1437,2713,2958,2924
1438,1255,1439,1363
1439,1343,1468,1403
1440,1656,1616,1497
1441,2070,2178,2124
1442,788,852,812
1443,3117,3386,3350
1444,3018,3260,3134
1445,1196,1304,1218
1446,1132,1249,1077
1447,1204,1322,1150
1448,444,513,460
1449,807,896,854
1450,243,257,261
1451,1201,1326,1278
1452,606,606,592
1453,136,145,134
1454,353,387,309
1455,301,320,306
1456,61,64,58
1457,622,682,595
1458,751,781,672
1459,1136,1187,1024
1460,353,376,333
1461,2043,2193,1826
1462,400,406,372
1463,1148,1208,1073
1464,455,487,416
1465,1466,1613,1312
1466,1448,1641,1228
1467,584,630,563
1468,628,662,555
1469,848,875,741
1470,216,234,221
1471,216,235,219
1472,289,301,279
1473,265,299,291
1474,280,284,286
1475,1061,1063,1029
1476,220,238,230
1477,154,145,145
1478,1193,1164,1071
1479,268,315,321
1480,300,335,298
1481,946,1110,1068
1482,238,295,257
1483,772,878,805
1484,121,123,119
1485,1157,1324,1229
1486,188,205,185
1487,669,698,682
1488,684,824,724
1489,782,832,757
1490,251,268,239
1491,209,205,200
1492,217,234,222
1493,285,315,297
1494,125,121,124
1495,295,336,309
1496,208,228,226
1497,111,133,119
1498,44,43,39
1499,22,23,21
1500,46,48,45
1501,134,141,132
1502,142,156,148
1503,97,98,95
1504,24,24,24
1505,112,125,124
1506,46,49,44
1507,347,385,369
1508,67,69,66
1509,76,74,79
1510,100,100,98
1511,199,204,198
1512,84,89,82
1513,70,77,71
1514,57,54,56
1515,22,23,23
1516,36,36,34
1517,50,53,50
1518,12,14,11
1519,534,512,475
1520,263,261,262
1521,249,222,226
1522,279,250,248
1523,540,577,588
1524,534,535,521
1525,575,557,521
1526,257,237,239
1527,461,467,444
1528,247,230,237
1529,914,929,875
1530,495,488,473
1531,444,455,436
1532,612,611,576
1533,602,555,553
1534,585,598,563
1535,549,522,515
1536,312,279,283
1537,197,194,203
1538,246,245,242
1539,234,208,227
1540,133,119,134
1541,283,298,295
1542,190,198,194
1543,169,176,166
1544,44,43,45
1545,799,816,813
1546,715,723,732
1547,1169,1161,1099
1548,283,317,302
1549,673,677,667
1550,244,311,312
1551,1975,2106,1910
1552,516,564,528
1553,742,746,773
1554,976,996,982
1555,934,919,876
1556,507,488,455
1557,544,520,530
1558,469,486,436
1559,174,163,173
1560,187,210,205
1561,266,264,278
1562,116,124,108
1563,47,42,50
1564,213,212,205
1565,137,140,126
1566,118,110,117
1567,603,769,608
1568,389,463,390
1569,751,865,734
1570,320,349,333
1571,469,543,464
1572,307,379,344
1573,594,684,615
1574,262,303,275
1575,687,724,638
1576,783,1001,762
1577,646,746,638
1578,344,393,315
1579,390,449,380
1580,337,411,356
1581,112,122,111
1582,214,214,193
1583,431,505,425
1584,64,63,60
1585,36,36,37
1586,272,299,268
1587,180,195,196
1588,41,39,35
1589,522,583,549
1590,326,376,344
1591,745,812,761
1592,405,440,434
1593,411,410,415
1594,256,296,272
1595,493,481,493
1596,247,274,242
1597,933,994,942
1598,751,918,839
1599,339,360,336
1600,275,299,251
1601,351,408,369
1602,164,185,177
1603,207,219,211
1604,219,241,204
1605,411,431,403
1606,165,170,173
1607,51,49,51
1608,440,642,513
1609,300,354,311
1610,50,50,54
1611,761,1116,906
1612,505,694,566
1613,851,1113,938
1614,385,509,469
1615,436,569,496
1616,272,332,278
1617,774,1026,797
1618,322,443,385
1619,985,1302,1110
